Date;Uhrzeit;m [kg];v [m/s]
01.01.2019;09:00;38;45.4
03.01.2019;06:00;187;41.6
04.01.2019;10:00;36;44.6
07.01.2019;14:00;6;41.2
11.01.2019;06:00;65;39.6
11.01.2019;16:00;58;33.2
14.01.2019;11:00;365;40.2
16.01.2019;02:00;22;46.5
18.01.2019;06:00;146;36.2
19.01.2019;17:00;29;38.3
20.01.2019;22:00;40;41.6
21.01.2019;11:00;304;36.7
22.01.2019;21:00;33;44.1
29.01.2019;07:00;50;40
06.02.2019;02:00;77;38
10.02.2019;20:00;76;39.2
14.02.2019;05:00;138;33.2
15.02.2019;11:00;152;24.9
16.02.2019;18:00;241;40.6
25.02.2019;14:00;97;30
28.02.2019;05:00;37;32.2
28.02.2019;12:00;64;34.3
07.03.2019;21:00;55;31.7
10.03.2019;16:00;0;32.3
10.03.2019;23:00;45;32.2
11.03.2019;18:00;406;44.1
17.03.2019;09:00;58;33.6
20.03.2019;10:00;16;42.1
21.03.2019;13:00;211;29
24.03.2019;16:00;3;42.3
25.03.2019;14:00;63;43.2
28.03.2019;01:00;58;37.2
